keys,en,de
Cowboy Trail,Cowboy Trail,Cowboy-Pfad
Saddling up,Saddling up,Wir satteln auf
Saddling up...,Saddling up...,Wir satteln auf...
"Help Lucky Mario Luke on his quest to make the wild west a safer place.","Help Lucky Mario Luke on his quest to make the wild west a safer place.","Hilf Lucky Mario Luke auf seiner Mission, den Wilden Westen sicherer zu machen."
Save 1,Save 1,Spielstand 1
Save 2,Save 2,Spielstand 2
Save 3,Save 3,Spielstand 3
Build Your Own Trail,Build Your Own Trail,Baue deinen eigenen Pfad
Campaign Workshop,Campaign Workshop,Kampagnen-Werkstatt
Controls,Controls,Steuerung
"Delete save: right-click, Space, or controller Y","Delete save: right-click, Space, or controller Y","Spielstand löschen: Rechtsklick, Leertaste oder Controller-Y"
Delete the selected save? This cannot be undone.,Delete the selected save? This cannot be undone.,Den ausgewählten Spielstand löschen? Das kann nicht rückgängig gemacht werden.
Delete save?,Delete save?,Spielstand löschen?
Delete,Delete,Löschen
Keep it,Keep it,Behalten
English,English,Englisch
Deutsch,Deutsch,Deutsch
Trail Pause,Trail Pause,Pause
Keep Riding,Keep Riding,Weiterreiten
Save Game,Save Game,Spiel speichern
Load Game,Load Game,Spiel laden
Restart Trail at Level 1,Restart Trail at Level 1,Pfad bei Level 1 neu beginnen
Restart Level,Restart Level,Level neu starten
Back to Start Screen,Back to Start Screen,Zurück zum Startbildschirm
Settings,Settings,Einstellungen
Quit,Quit,Beenden
Exit Game,Exit Game,Spiel beenden
Trail Options,Trail Options,Pfad-Optionen
Music,Music,Musik
Sound,Sound,Ton
Controller buzz,Controller buzz,Controller-Vibration
Big screen,Big screen,Vollbild
Language,Language,Sprache
Language: English,Language: English,Sprache: Englisch
Language: German,Language: German,Sprache: Deutsch
Back,Back,Zurück
Level,Level,Level
Badges: %d,Badges: %d,Abzeichen: %d
Power: -,Power: -,Kraft: -
"Power: %s (%.0fs)","Power: %s (%.0fs)","Kraft: %s (%.0fs)"
TRAIL %d%%,TRAIL %d%%,PFAD %d%%
Yeehaw!,Yeehaw!,Jippie!
Next trail ahead...,Next trail ahead...,Der nächste Pfad wartet...
Badges found: %d,Badges found: %d,Abzeichen gefunden: %d
Next trail!,Next trail!,Nächster Pfad!
The cowboy rides in...,The cowboy rides in...,Der Cowboy reitet los...
Ready!,Ready!,Bereit!
Trail complete!,Trail complete!,Pfad geschafft!
%s  %d badges!,%s  %d badges!,%s  %d Abzeichen!
The cowboy rides into the sunset...,The cowboy rides into the sunset...,Der Cowboy reitet in den Sonnenuntergang...
Empty,Empty,Leer
Press to start,Press to start,Drücken zum Starten
Save %d,Save %d,Spielstand %d
Save %d is already empty.,Save %d is already empty.,Spielstand %d ist bereits leer.
Delete Save %d? This cannot be undone.,Delete Save %d? This cannot be undone.,Spielstand %d löschen? Das kann nicht rückgängig gemacht werden.
DONE,DONE,FERTIG
Trail %s,Trail %s,Pfad %s
"Badges %d | Time %dm %ds","Badges %d | Time %dm %ds","Abzeichen %d | Zeit %dm %ds"
Dusty Trail,Dusty Trail,Staubiger Pfad
Badge Meadow,Badge Meadow,Abzeichen-Wiese
Bronco Springs,Bronco Springs,Bronco-Quellen
Canyon Ferry,Canyon Ferry,Canyon-Fähre
Outlaw Cave,Outlaw Cave,Gesetzlosen-Höhle
Windy Mesa,Windy Mesa,Windige Mesa
Sky Ranch,Sky Ranch,Himmels-Ranch
Rail Yard,Rail Yard,Rangierbahnhof
Moonlight Gulch,Moonlight Gulch,Mondlicht-Schlucht
Rainbow Saloon,Rainbow Saloon,Regenbogen-Saloon
Crystal Mouth,Crystal Mouth,Kristallmund
Bat Gallery,Bat Gallery,Fledermaus-Galerie
Acid Veins,Acid Veins,Säureadern
Ladder Grotto,Ladder Grotto,Leiter-Grotte
Wing Chasm,Wing Chasm,Flügelschlucht
Dragon Gate,Dragon Gate,Drachentor
Wings,Wings,Flügel
Magic Boots,Magic Boots,Magische Stiefel
Speed Star,Speed Star,Tempo-Stern
Bubble Shield,Bubble Shield,Blasenschild
Fly high!,Fly high!,Flieg hoch!
Super jump!,Super jump!,Supersprung!
Zoom!,Zoom!,Sause los!
Safe bubble!,Safe bubble!,Sichere Blase!
Fly high! Hold Jump to rise!,Fly high! Hold Jump to rise!,Flieg hoch! Halte Springen gedrückt!
Super jump! Leap farther!,Super jump! Leap farther!,Supersprung! Springe weiter!
Zoom! Run like the wind!,Zoom! Run like the wind!,Sause los! Renn wie der Wind!
Safe bubble! Bounce off cacti!,Safe bubble! Bounce off cacti!,Sichere Blase! Pralle von Kakteen ab!
Loaded! Back at your saved camp.,Loaded! Back at your saved camp.,Geladen! Zurück am gespeicherten Lager.
Let's go: %s!,Let's go: %s!,Los geht's: %s!
Oops! Back to camp!,Oops! Back to camp!,Hoppla! Zurück zum Lager!
Camp saved!,Camp saved!,Lager gespeichert!
Wind pushes you!,Wind pushes you!,Der Wind schiebt dich!
Boing! Springs launch you up!,Boing! Springs launch you up!,Boing! Sprungfedern schleudern dich hoch!
The belt pushes you along!,The belt pushes you along!,Das Förderband schiebt dich weiter!
Watch the gate! Wait or hurry!,Watch the gate! Wait or hurry!,Achte auf das Tor! Warte oder beeile dich!
Nice! %d badges!,Nice! %d badges!,Klasse! %d Abzeichen!
Game saved at camp!,Game saved at camp!,Spiel am Lager gespeichert!
Bounce! Bubble safe!,Bounce! Bubble safe!,Hüpf! Die Blase schützt dich!
Bounty caught! +%d badges!,Bounty caught! +%d badges!,Gesuchten gefangen! +%d Abzeichen!
Treasure chest! +1 badge!,Treasure chest! +1 badge!,Schatztruhe! +1 Abzeichen!
Treasure chest! Fly high! Hold Jump to rise!,Treasure chest! Fly high! Hold Jump to rise!,Schatztruhe! Flieg hoch! Halte Springen zum Steigen!
Treasure chest! Super jump! Leap farther!,Treasure chest! Super jump! Leap farther!,Schatztruhe! Super-Sprung! Spring weiter!
Treasure chest! Zoom! Run like the wind!,Treasure chest! Zoom! Run like the wind!,Schatztruhe! Zoom! Renn wie der Wind!
Treasure chest! Safe bubble! Bounce off cacti!,Treasure chest! Safe bubble! Bounce off cacti!,Schatztruhe! Sichere Blase! Hüpf von Kakteen ab!
Treasure chest opened!,Treasure chest opened!,Schatztruhe geöffnet!
Nice ride! Keep going!,Nice ride! Keep going!,Guter Ritt! Weiter so!
Halfway to the saloon!,Halfway to the saloon!,Halbzeit bis zum Saloon!
"Almost there, cowboy!","Almost there, cowboy!","Fast geschafft, Cowboy!"
The saloon is close!,The saloon is close!,Der Saloon ist ganz nah!
Run and jump along the long dusty trail to the saloon!,Run and jump along the long dusty trail to the saloon!,Renne und springe über den langen staubigen Pfad bis zum Saloon!
Ride and jump with your horse along the dusty trail to the saloon!,Ride and jump with your horse along the dusty trail to the saloon!,Reite und springe mit deinem Pferd über den staubigen Pfad bis zum Saloon!
Collect lots of shiny sheriff badges on the meadow trail.,Collect lots of shiny sheriff badges on the meadow trail.,Sammle viele glänzende Sheriff-Abzeichen auf dem Wiesenpfad.
Bounce on bronco springs to reach high ledges.,Bounce on bronco springs to reach high ledges.,Hüpfe auf Bronco-Federn zu den hohen Vorsprüngen.
Ride wooden rafts across the long canyon river.,Ride wooden rafts across the long canyon river.,Fahre mit Holzflößen über den langen Canyon-Fluss.
Use camps and jump over sleepy outlaws.,Use camps and jump over sleepy outlaws.,Nutze die Lager und springe über schläfrige Gesetzlose.
Magic Boots and desert wind help long jumps.,Magic Boots and desert wind help long jumps.,Magische Stiefel und Wüstenwind helfen bei weiten Sprüngen.
"Wings up! Use clouds as bridges, climb to high badges, and fly between stacked carrions.","Wings up! Use clouds as bridges, climb to high badges, and fly between stacked carrions.","Flügel raus! Nutze Wolken als Brücken, klettere zu hohen Abzeichen und fliege zwischen den Geiern."
"Bubble Shields, conveyors, and yard gates ahead!","Bubble Shields, conveyors, and yard gates ahead!","Blasenschilde, Förderbänder und Hoftore voraus!"
Use every trail trick on this long gulch ride.,Use every trail trick on this long gulch ride.,Nutze auf diesem langen Ritt durch die Schlucht jeden Trick.
A big celebration ride all the way to the saloon!,A big celebration ride all the way to the saloon!,Ein großer Siegesritt bis zum Saloon!
"Stampede Bull — bounce, then lasso the ring while stunned!","Stampede Bull — bounce, then lasso the ring while stunned!","Stampede-Bulle — hüpfe und fange dann im Taumeln den Ring!"
